id,from,at,to,open,close,min,max,volume
1866225,1666954380,1666954440000000000,1666954440,0.994295,0.994355,0.994225,0.994425,223
1866226,1666954440,1666954500000000000,1666954500,0.994365,0.994515,0.994335,0.994525,180
1866227,1666954500,1666954560009818629,1666954560,0.994505,0.994615,0.994455,0.994645,208
1866228,1666954560,1666954620003084507,1666954620,0.994605,0.994625,0.994515,0.994675,178
1866229,1666954620,1666954680000000000,1666954680,0.994615,0.994675,0.994505,0.994695,206
1866230,1666954680,1666954740002658921,1666954740,0.994675,0.994675,0.994585,0.994705,159
1866231,1666954740,1666954800000000000,1666954800,0.994685,0.994745,0.994665,0.994785,170
1866232,1666954800,1666954860000000000,1666954860,0.994745,0.994885,0.994705,0.994905,212
1866233,1666954860,1666954920003361541,1666954920,0.994865,0.994585,0.994575,0.994875,186
1866234,1666954920,1666954980000000000,1666954980,0.994585,0.994615,0.994435,0.994645,202
1866235,1666954980,1666955040000000000,1666955040,0.994615,0.994825,0.994415,0.994865,237
1866236,1666955040,1666955100003787834,1666955100,0.994825,0.994725,0.994705,0.994965,264
1866237,1666955100,1666955160000000000,1666955160,0.994735,0.994415,0.994415,0.994835,173
1866238,1666955160,1666955220000000000,1666955220,0.994405,0.994405,0.994305,0.994515,202
1866239,1666955220,1666955280000000000,1666955280,0.994405,0.994105,0.993905,0.994415,316
1866240,1666955280,1666955340000000000,1666955340,0.994085,0.994185,0.994075,0.994285,183
1866241,1666955340,1666955400000000000,1666955400,0.994195,0.994245,0.994165,0.994365,181
1866242,1666955400,1666955460000000000,1666955460,0.994255,0.994365,0.994185,0.994455,225
1866243,1666955460,1666955520000000000,1666955520,0.994355,0.994545,0.994355,0.994675,227
1866244,1666955520,1666955580019087800,1666955580,0.994555,0.994675,0.994545,0.994775,217
1866245,1666955580,1666955640000316357,1666955640,0.994695,0.994925,0.994655,0.994965,245
1866246,1666955640,1666955700007961579,1666955700,0.994945,0.995235,0.994875,0.995235,231
1866247,1666955700,1666955760000000000,1666955760,0.995235,0.995185,0.995135,0.995435,241
1866248,1666955760,1666955820000000000,1666955820,0.995165,0.995145,0.994985,0.995185,226
1866249,1666955820,1666955880000000000,1666955880,0.995145,0.995395,0.995035,0.995395,188
1866250,1666955880,1666955940000000000,1666955940,0.995385,0.995495,0.995275,0.995555,266
1866251,1666955940,1666956000000000000,1666956000,0.995485,0.995715,0.995235,0.995725,305
1866252,1666956000,1666956060000000000,1666956060,0.995705,0.995375,0.995355,0.995765,261
1866253,1666956060,1666956120015423375,1666956120,0.995395,0.995415,0.995335,0.995595,332
