type,result,ammount
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, loose, -10.0
put, loose, -10.0
call, loose, -10.0
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, loose, -10.0
call, loose, -10.0
put, win, 8.5
put, loose, -10.0
call, loose, -10.0
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
call, equal, 0
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, loose, -10.0
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, loose, -10.0
call, loose, -10.0
call, loose, -10.0
put, win, 8.5
put, loose, -10.0
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, win, 8.5
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, win, 8.5
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, win, 8.5
call, win, 8.5
call, loose, -10.0
put, loose, -10.0
call, loose, -10.0
put, loose, -10.0
call, win, 8.5
call, loose, -10.0
put, win, 8.5
put, win, 8.5
put, loose, -10.0
call, win, 8.5
