id,from,at,to,open,close,min,max,volume
1903647,1670240460,1670240520000000000,1670240520,1.055765,1.055855,1.055705,1.056015,272
1903648,1670240520,1670240580010357671,1670240580,1.055845,1.055855,1.055795,1.055905,216
1903649,1670240580,1670240640000000000,1670240640,1.055845,1.055875,1.055765,1.055905,222
1903650,1670240640,1670240700000000000,1670240700,1.055855,1.055895,1.055825,1.055995,170
1903651,1670240700,1670240760000000000,1670240760,1.055875,1.056235,1.055835,1.056285,255
1903652,1670240760,1670240820000000000,1670240820,1.056235,1.056575,1.056235,1.056605,322
1903653,1670240820,1670240880000000000,1670240880,1.056565,1.056675,1.056505,1.056865,238
1903654,1670240880,1670240940000000000,1670240940,1.056685,1.056875,1.056605,1.056885,232
1903655,1670240940,1670241000000000000,1670241000,1.056865,1.056675,1.056615,1.056885,191
1903656,1670241000,1670241060000000000,1670241060,1.056685,1.057155,1.056675,1.057685,429
1903657,1670241060,1670241120003176107,1670241120,1.057155,1.056975,1.056915,1.057215,231
1903658,1670241120,1670241180000000000,1670241180,1.056975,1.056755,1.056655,1.056975,278
1903659,1670241180,1670241240002694854,1670241240,1.056765,1.056355,1.056355,1.056765,283
1903660,1670241240,1670241300000000000,1670241300,1.056355,1.056785,1.056355,1.056875,383
1903661,1670241300,1670241360000000000,1670241360,1.056785,1.056855,1.056705,1.056885,213
1903662,1670241360,1670241420000000000,1670241420,1.056865,1.056815,1.056715,1.056945,338
1903663,1670241420,1670241480000000000,1670241480,1.056835,1.056725,1.056645,1.057295,345
1903664,1670241480,1670241540004024398,1670241540,1.056715,1.056465,1.056435,1.056735,226
1903665,1670241540,1670241600000000000,1670241600,1.056475,1.056435,1.056305,1.056535,269
1903666,1670241600,1670241660003097744,1670241660,1.056445,1.056435,1.056345,1.056535,240
1903667,1670241660,1670241720000000000,1670241720,1.056455,1.056535,1.056435,1.056675,248
1903668,1670241720,1670241780001198892,1670241780,1.056565,1.056955,1.056535,1.056995,307
1903669,1670241780,1670241840000000000,1670241840,1.056955,1.056835,1.056825,1.056995,329
1903670,1670241840,1670241900000000000,1670241900,1.056835,1.057035,1.056815,1.057185,405
1903671,1670241900,1670241960000000000,1670241960,1.057035,1.056725,1.056675,1.057055,334
1903672,1670241960,1670242020000000000,1670242020,1.056715,1.056925,1.056715,1.056945,243
1903673,1670242020,1670242080000000000,1670242080,1.056925,1.056695,1.056545,1.056945,289
1903674,1670242080,1670242140000000000,1670242140,1.056705,1.057055,1.056635,1.057065,317
1903675,1670242140,1670242200000000000,1670242200,1.057045,1.057105,1.057025,1.057235,294
1903676,1670242200,1670242260000000000,1670242260,1.057105,1.056945,1.056765,1.057325,340
1903677,1670242260,1670242320000000000,1670242320,1.056935,1.056855,1.056715,1.056955,188
1903678,1670242320,1670242380000000000,1670242380,1.056855,1.056775,1.056665,1.056885,245
1903679,1670242380,1670242440001407727,1670242440,1.056765,1.056665,1.056635,1.056825,281
1903680,1670242440,1670242500000000000,1670242500,1.056675,1.056425,1.056425,1.056685,261
1903681,1670242500,1670242560000000000,1670242560,1.056425,1.056315,1.056285,1.056625,195
1903682,1670242560,1670242620000000000,1670242620,1.056325,1.056175,1.056155,1.056425,205
1903683,1670242620,1670242680000000000,1670242680,1.056175,1.056235,1.056115,1.056335,246
1903684,1670242680,1670242740000000000,1670242740,1.056255,1.056135,1.056115,1.056385,168
1903685,1670242740,1670242800000000000,1670242800,1.056155,1.056265,1.056095,1.056385,285
1903686,1670242800,1670242860002323769,1670242860,1.056275,1.056535,1.056255,1.056575,287
1903687,1670242860,1670242920000000000,1670242920,1.056545,1.056815,1.056475,1.056845,318
1903688,1670242920,1670242980000000000,1670242980,1.056825,1.056865,1.056755,1.056965,307
1903689,1670242980,1670243040000000000,1670243040,1.056875,1.056845,1.056775,1.057035,288
1903690,1670243040,1670243100000000000,1670243100,1.056855,1.056645,1.056595,1.056855,256
1903691,1670243100,1670243160000000000,1670243160,1.056655,1.056965,1.056655,1.057045,261
1903692,1670243160,1670243220000000000,1670243220,1.056975,1.056985,1.056855,1.057015,243
1903693,1670243220,1670243280002576032,1670243280,1.056975,1.057305,1.056975,1.057335,282
1903694,1670243280,1670243340000000000,1670243340,1.057285,1.056845,1.056845,1.057315,277
1903695,1670243340,1670243400000549591,1670243400,1.056855,1.056765,1.056715,1.056855,208
1903696,1670243400,1670243460003481107,1670243460,1.056765,1.056585,1.056445,1.056795,281
1903697,1670243460,1670243520000000000,1670243520,1.056595,1.056485,1.056485,1.056665,226
1903698,1670243520,1670243580000000000,1670243580,1.056475,1.056075,1.056045,1.056545,281
1903699,1670243580,1670243640000000000,1670243640,1.056075,1.056315,1.056025,1.056325,266
