id,from,at,to,open,close,min,max,volume
1906955,1670438940,1670439000000000000,1670439000,1.051715,1.051755,1.051695,1.051795,224
1906956,1670439000,1670439060002645177,1670439060,1.051755,1.051555,1.051495,1.051775,251
1906957,1670439060,1670439120000000000,1670439120,1.051555,1.051505,1.051455,1.051695,204
1906958,1670439120,1670439180000000000,1670439180,1.051515,1.051515,1.051335,1.051575,187
1906959,1670439180,1670439240002097313,1670439240,1.051535,1.051275,1.051225,1.051535,155
1906960,1670439240,1670439300000000000,1670439300,1.051275,1.051355,1.051235,1.051465,217
1906961,1670439300,1670439360001865696,1670439360,1.051375,1.051395,1.051355,1.051495,234
1906962,1670439360,1670439420000000000,1670439420,1.051395,1.051205,1.051135,1.051425,215
1906963,1670439420,1670439480001271991,1670439480,1.051205,1.051145,1.051125,1.051275,224
1906964,1670439480,1670439540000000000,1670439540,1.051125,1.051145,1.051115,1.051215,165
1906965,1670439540,1670439600000000000,1670439600,1.051145,1.051055,1.051015,1.051175,164
1906966,1670439600,1670439660000000000,1670439660,1.051045,1.050875,1.050785,1.051125,187
1906967,1670439660,1670439720005629790,1670439720,1.050865,1.050735,1.050735,1.050885,188
1906968,1670439720,1670439780000000000,1670439780,1.050755,1.050615,1.050605,1.050775,186
1906969,1670439780,1670439840003439286,1670439840,1.050615,1.050915,1.050605,1.050985,248
1906970,1670439840,1670439900000000000,1670439900,1.050905,1.050995,1.050865,1.051045,247
1906971,1670439900,1670439960000000000,1670439960,1.051005,1.051165,1.050965,1.051275,207
1906972,1670439960,1670440020000000000,1670440020,1.051155,1.051145,1.051085,1.051245,183
1906973,1670440020,1670440080003518751,1670440080,1.051135,1.051155,1.051045,1.051155,132
1906974,1670440080,1670440140000000000,1670440140,1.051145,1.051075,1.051065,1.051165,129
1906975,1670440140,1670440200000000000,1670440200,1.051065,1.051025,1.050995,1.051095,203
1906976,1670440200,1670440260000000000,1670440260,1.051015,1.050935,1.050865,1.051025,313
1906977,1670440260,1670440320000000000,1670440320,1.050935,1.050885,1.050875,1.050985,323
1906978,1670440320,1670440380009822273,1670440380,1.050885,1.051085,1.050885,1.051085,269
